idx,nr_of_shots,expert_pattern,precision,recall,f1,time
1,0,1,0.89,0.84,0.86,0.48
2,0,1,0.86,0.89,0.87,0.49
3,0,1,0.82,0.87,0.84,0.52
4,0,1,0.87,0.82,0.84,0.64
5,0,1,0.85,0.82,0.84,0.5
6,0,1,0.85,0.85,0.85,0.49
7,0,1,0.88,0.84,0.86,0.49
8,0,1,0.85,0.84,0.85,0.68
9,0,1,0.87,0.80,0.83,0.46
10,0,1,0.81,0.84,0.83,0.49
11,1,1,0.88,0.83,0.85,0.48
12,1,1,0.85,0.84,0.84,0.48
13,1,1,0.88,0.82,0.85,0.50
14,1,1,0.87,0.81,0.84,0.47
15,1,1,0.85,0.83,0.84,0.5
16,1,1,0.85,0.83,0.84,0.48
17,1,1,0.84,0.83,0.84,0.47
18,1,1,0.85,0.86,0.85,0.48
19,1,1,0.85,0.83,0.84,0.46
20,1,1,0.88,0.85,0.86,0.48
21,1,0,0.85,0.78,0.81,0.5
22,1,0,0.83,0.81,0.82,0.46
23,1,0,0.86,0.78,0.82,0.46
24,1,0,0.83,0.78,0.80,0.47
25,1,0,0.87,0.76,0.81,0.44
26,1,0,0.82,0.80,0.81,0.44
27,1,0,0.86,0.81,0.84,0.48
28,1,0,0.85,0.79,0.82,0.45
29,1,0,0.86,0.75,0.80,0.44
30,1,0,0.83,0.83,0.83,0.57
31,0,0,0.85,0.80,0.82,0.46
32,0,0,0.89,0.75,0.82,0.64
33,0,0,0.88,0.73,0.80,0.47
34,0,0,0.86,0.78,0.82,0.46
35,0,0,0.85,0.83,0.84,0.47
36,0,0,0.85,0.80,0.82,0.65
37,0,0,0.84,0.78,0.81,0.5
38,0,0,0.89,0.79,0.84,0.46
39,0,0,0.87,0.79,0.83,0.48
40,0,0,0.82,0.77,0.79,0.66
41,1,1,0.87,0.82,0.85,0.49
42,1,1,0.84,0.83,0.83,0.48
43,1,1,0.87,0.82,0.84,0.47
44,1,1,0.85,0.83,0.84,0.65
45,1,1,0.86,0.83,0.84,0.47
46,1,1,0.84,0.81,0.83,0.46
47,1,1,0.84,0.80,0.82,0.62
48,1,1,0.86,0.81,0.83,0.47
49,1,1,0.86,0.81,0.84,0.44
50,1,1,0.84,0.81,0.83,0.46